volume_name;date;id;villain;url
The Amazing Spider-Man: The Complete Ben Reilly Epic;2012-01-31;311042;Lady Octopus;http://comicvine.gamespot.com/the-amazing-spider-man-the-complete-ben-reilly-epi/4000-311042/
Siege Oversized Hardcover Edition;2011-12-31;307909;Lady Octopus;http://comicvine.gamespot.com/siege-oversized-hardcover-edition-1-siege-oversize/4000-307909/
The Amazing Spider-Man: The Complete Ben Reilly Epic;2011-07-31;286202;Lady Octopus;http://comicvine.gamespot.com/the-amazing-spider-man-the-complete-ben-reilly-epi/4000-286202/
The Amazing Spider-Man: The Complete Clone Saga Epic;2011-01-31;260054;Lady Octopus;http://comicvine.gamespot.com/the-amazing-spider-man-the-complete-clone-saga-epi/4000-260054/
New Avengers: Siege;2010-09-01;233511;Lady Octopus;http://comicvine.gamespot.com/new-avengers-siege-1-new-avengers-siege/4000-233511/
New Avengers;2010-05-01;201704;Lady Octopus;http://comicvine.gamespot.com/the-new-avengers-63-untitled/4000-201704/
Spider-Girl: The Games Villains Play;2010-03-10;205179;Lady Octopus;http://comicvine.gamespot.com/spider-girl-the-games-villains-play-1-spider-girl-/4000-205179/
Amazing Spider-Girl: Mind Games;2008-06-11;172946;Lady Octopus;http://comicvine.gamespot.com/amazing-spider-girl-mind-games-1-amazing-spider-gi/4000-172946/
The Amazing Spider-Girl;2008-02-01;120156;Lady Octopus;http://comicvine.gamespot.com/the-amazing-spider-girl-15-dark-destiny/4000-120156/
Marvel Legacy: The 1960s-1990s Handbook;2007-11-30;396594;Lady Octopus;http://comicvine.gamespot.com/marvel-legacy-the-1960s-1990s-handbook-1-tpb/4000-396594/
Marvel Legacy;2007-02-14;107860;Lady Octopus;http://comicvine.gamespot.com/marvel-legacy-4-marvel-legacy-the-1990s-handbook/4000-107860/
Secret War;2006-03-31;189760;Lady Octopus;http://comicvine.gamespot.com/secret-war-1-hctpb/4000-189760/
Secret War;2005-05-01;106866;Lady Octopus;http://comicvine.gamespot.com/secret-war-4-secret-war-book-4/4000-106866/
Spider-Girl;2004-10-01;117107;Lady Octopus;http://comicvine.gamespot.com/spider-girl-77-a-taste-for-treachery/4000-117107/
