volume_name,volume_id,issue_id,cover_date
Universe X;9149;69361;2000-11-01
Peter Parker: Spider-Man;9142;68500;2000-11-01
Gambit;9111;66910;2000-11-01
Wolverine;4250;51223;2000-11-01
Spider-Girl;6218;49402;2000-11-01
Darkdevil;6700;47794;2000-11-01
Avengers Universe;40565;273382;2000-10-01
Avengers Universe;40565;273380;2000-10-01
Spider-Man: Death and Destiny;31431;195914;2000-10-01
Spider-Man: Revenge of the Green Goblin;20677;124017;2000-10-01
The Amazing Spider-Man;78701;113453;2000-10-01
Universe X;9149;69360;2000-10-01
Peter Parker: Spider-Man;9142;68499;2000-10-01
Avataars: Covenant of the Shield;9076;64480;2000-10-01
Ultimate Spider-Man;7257;51619;2000-10-01
Spider-Man: Death and Destiny;31431;195913;2000-09-01
The Amazing Spider-Man;78701;113452;2000-09-01
Peter Parker: Spider-Man;9142;68498;2000-09-01
Spider-Girl;6218;49400;2000-09-01
Spider-Man: Death and Destiny;31431;195911;2000-08-01
The Amazing Spider-Man;78701;113451;2000-08-01
X-Men: The Hidden Years;9202;70476;2000-08-01
Peter Parker: Spider-Man;9142;68497;2000-08-01
Spider-Man vs Punisher;21887;131863;2000-07-01
The Amazing Spider-Man;78701;113450;2000-07-01
Peter Parker: Spider-Man;9142;68496;2000-07-01
Spider-Girl;6218;49398;2000-07-01
Webspinners: Tales of Spider-Man;9375;117435;2000-06-26
The Amazing Spider-Man;78701;113449;2000-06-01
Peter Parker: Spider-Man;9142;68495;2000-06-01
Earth X;6354;66296;2000-06-01
Avengers;7084;50788;2000-06-01
Spider-Girl;6218;49397;2000-06-01
Webspinners: Tales of Spider-Man;9375;117434;2000-05-31
The History of Marvels Comics;33822;268917;2000-05-03
Marvels Comics: Spider-Man #1;22899;137487;2000-05-03
Blade;31627;219407;2000-05-01
The Amazing Spider-Man;78701;113448;2000-05-01
Warlock;11006;95862;2000-05-01
Spider-Woman;9573;82320;2000-05-01
Thor;6226;75669;2000-05-01
Peter Parker: Spider-Man;9142;68494;2000-05-01
Bishop: The Last X-Man;6352;65818;2000-05-01
The New Warriors;6787;48485;2000-05-01
Spider-Girl;6218;47882;2000-05-01
Black Panther;6496;46498;2000-05-01
Webspinners: Tales of Spider-Man;9375;117433;2000-04-26
Spider-Man vs. Doctor Octopus;67394;425794;2000-04-01
The Amazing Spider-Man;78701;113447;2000-04-01
Spider-Man Unlimited;10760;91362;2000-04-01
Spider-Man Unlimited;10760;91361;2000-04-01
Peter Parker: Spider-Man;9142;68493;2000-04-01
Earth X;6354;66295;2000-04-01
Spider-Girl;6218;47881;2000-04-01
Black Panther;6496;46497;2000-04-01
The Amazing Spider-Man 2000;60441;143312;2000-03-31
Webspinners: Tales of Spider-Man;9375;117432;2000-03-31
Webspinners: Tales of Spider-Man;9375;117431;2000-03-31
Thunderbolts;6020;46305;2000-03-31
Blade;31627;210024;2000-03-01
The Amazing Spider-Man;78701;113446;2000-03-01
Warlock;11006;95860;2000-03-01
Spider-Woman;9573;82318;2000-03-01
Peter Parker: Spider-Man;9142;68492;2000-03-01
Earth X;6354;66294;2000-03-01
Bishop: The Last X-Man;6352;65816;2000-03-01
Cable;4993;65655;2000-03-01
Wolverine;4250;51215;2000-03-01
Spider-Girl;6218;47880;2000-03-01
Fantastic Four;6211;46309;2000-03-01
The Amazing Spider-Man;78701;113445;2000-02-29
X-Man;5567;136073;2000-02-01
Ant-Man's Big Christmas;20128;120141;2000-02-01
Spider-Man Unlimited;10760;91360;2000-02-01
Peter Parker: Spider-Man;9142;68491;2000-02-01
Avengers;7084;50784;2000-02-01
Spider-Girl;6218;47879;2000-02-01
Mutant X;6217;46282;2000-02-01
